"skill_id","skill_name","local_icon_path","suggested_wiki_filename","notes"
"54","Arcane Surge","public/assets/icons/arcane_surge_icon.png","Arcane Surge icon.png",""
"27","Armor Link","public/assets/icons/armor_link.png","Armor Link icon.png",""
"94","Arrow Infusion","public/assets/icons/arrow_infusion_icon.png","Arrow Infusion icon.png",""
"34","Arrow Rain","public/assets/icons/arrow_rain.png","Arrow Rain icon.png",""
"44","Arrow Storm","public/assets/icons/arrow_rain.png","Arrow Rain icon.png","reuses same file as another skill — upload once"
"42","Blink","public/assets/icons/blink.png","Blink icon.png",""
"62","Blood Sacrifice","public/assets/icons/blood_sacrifice.png","Blood Sacrifice icon.png",""
"76","Bloodlust","public/assets/icons/bloodlust.png","Bloodlust icon.png",""
"101","Blue Moon","public/assets/icons/blue_moon.png","Blue Moon icon.png",""
"73","Bullseye","public/assets/icons/bullseye.png","Bullseye icon.png",""
"29","Burst Shield","public/assets/icons/burst_shield.png","Burst Shield icon.png",""
"95","Clarity","public/assets/icons/clarity_icon.png","Clarity icon.png",""
"104","Companion","public/assets/icons/companion_skill_icon.png","Companion icon.png",""
"56","Crescent Slash","public/assets/icons/crescent_slash_icon.png","Crescent Slash icon.png",""
"96","Crimson Moon","public/assets/icons/crimson_moon_icon.png","Crimson Moon icon.png",""
"89","Cross Strike","public/assets/icons/cross_strike_icon.png","Cross Strike icon.png",""
"45","Cursed Throw","public/assets/icons/cursed_throw.png","Cursed Throw icon.png",""
"82","Dark Fire","public/assets/icons/skill_darkness_fire_icon.png","Dark Fire icon.png",""
"69","Dash","public/assets/icons/dash.png","Dash icon.png",""
"9","Dash Strike","public/assets/icons/dash_strike.png","Dash Strike icon.png",""
"106","Dedication","public/assets/icons/dedication.png","Dedication icon.png",""
"105","Divine Benevolence","public/assets/icons/divine_benelovent.png","Divine Benevolence icon.png",""
"64","Divine Blessing","public/assets/icons/divine_blessing.png","Divine Blessing icon.png",""
"47","Divine Protection","public/assets/icons/divine_protection.png","Divine Protection icon.png",""
"107","Divine Thorn","public/assets/icons/divine_thorn.png","Divine Thorn icon.png",""
"22","Elemental Charge","public/assets/icons/Elemental_charge.png","Elemental Charge icon.png",""
"63","Empower","public/assets/icons/skill_Empower.png","Empower icon.png",""
"61","Faith","public/assets/icons/faith_icon_2.png","Faith icon.png",""
"103","Familiar","public/assets/icons/familiar_skill_icon.png","Familiar icon.png",""
"74","Feather Jump","public/assets/icons/feather_jump.png","Feather Jump icon.png",""
"19","Flame Barrage","public/assets/icons/flame_barrage.png","Flame Barrage icon.png",""
"92","Flare Arrow","public/assets/icons/flare_arrow_icon.png","Flare Arrow icon.png",""
"85","Flash Strike","public/assets/icons/flash_stike_icon.png","Flash Strike icon.png",""
"102","Focused Mind","public/assets/icons/focused_mind.png","Focused Mind icon.png",""
"75","Force of Will","public/assets/icons/Force of will.png","Force of Will icon.png",""
"35","Grapple Strike","public/assets/icons/grapple.png","Grapple Strike icon.png",""
"6","Gravity Well","public/assets/icons/gravitywell.png","Gravity Well icon.png",""
"51","Gust","public/assets/icons/Gust.png","Gust icon.png",""
"72","Heaven Arrow","public/assets/icons/heaven_arrow.png","Heaven Arrow icon.png",""
"1","Heavy Strike","public/assets/icons/heavystrike.png","Heavy Strike icon.png",""
"91","Holy Arrow","public/assets/icons/holy_arrow_icon.png","Holy Arrow icon.png",""
"93","Holy Field","public/assets/icons/holy_field_icon.png","Holy Field icon.png",""
"109","Life Line","public/assets/icons/lifeline.png","Life Line icon.png",""
"84","Lunar Step","public/assets/icons/luna_step_icon.png","Lunar Step icon.png",""
"60","Magic","public/assets/icons/int_damage_icon.png","Magic icon.png",""
"41","Magic Burst","public/assets/icons/skill_magic_burst.png","Magic Burst icon.png",""
"83","Magic Slash","public/assets/icons/magic_slash.png","Magic Slash icon.png",""
"28","Mana Shield","public/assets/icons/mana_shield.png","Mana Shield icon.png",""
"30","Medishot","public/assets/icons/medishot.png","Medishot icon.png",""
"58","Melee","public/assets/icons/melee.png","Melee icon.png",""
"98","Messenger","public/assets/icons/messenger_icon.png","Messenger icon.png",""
"108","Nimble","public/assets/icons/ghost_charge.png","Nimble icon.png",""
"2","Ninja Throw","public/assets/icons/ninjathrow.png","Ninja Throw icon.png",""
"5","Nova","public/assets/icons/frost.png","Nova icon.png",""
"50","Onslaught","public/assets/icons/Onslaught.png","Onslaught icon.png",""
"90","Perseverance","public/assets/icons/perseverance_icon.png","Perseverance icon.png",""
"86","Phasing","public/assets/icons/phrasing_icon.png","Phasing icon.png",""
"97","Punishment","public/assets/icons/punishment_icon.png","Punishment icon.png",""
"59","Range","public/assets/icons/range_damage_icon.png","Range icon.png",""
"77","Realm Piercing Arrow","public/assets/icons/realm_piercing_arrow.png","Realm Piercing Arrow icon.png",""
"4","Revitalize","public/assets/icons/revitalize.png","Revitalize icon.png",""
"71","Seirei","public/assets/icons/seirei.png","Seirei icon.png",""
"49","Shadow Step","public/assets/icons/ShadowStep.png","Shadow Step icon.png",""
"46","Shadow Twin","public/assets/icons/ShadowTwin.png","Shadow Twin icon.png",""
"87","Shield Bash","public/assets/icons/shield_bash_icon.png","Shield Bash icon.png",""
"48","Shield Slam","public/assets/icons/shield_slam.png","Shield Slam icon.png",""
"70","Siphon","public/assets/icons/siphon.png","Siphon icon.png",""
"40","Slash","public/assets/icons/slash.png","Slash icon.png",""
